symbol,success,failure_reason,n_quarterly,n_yearly,n_earnings,filing_date_coverage_ratio,report_date_coverage_ratio
AAPL.US,True,,164,41,132,1.0,1.0
MSFT.US,True,,164,41,133,1.0,1.0
GOOGL.US,True,,98,27,89,0.9931972789115647,1.0
AMZN.US,True,,123,30,118,1.0,1.0
META.US,True,,66,19,59,1.0,1.0
NVDA.US,True,,110,28,110,0.9984848484848485,1.0
JPM.US,True,,164,41,126,1.0,1.0
JNJ.US,True,,164,41,123,0.9968413535486707,1.0
XOM.US,True,,164,41,131,1.0,1.0
PG.US,True,,164,41,125,1.0,1.0
UNH.US,True,,164,41,131,1.0,1.0
HD.US,True,,165,41,122,1.0,1.0
CVX.US,True,,134,34,125,1.0,1.0
COST.US,True,,165,41,103,1.0,1.0
AVGO.US,True,,79,20,69,1.0,1.0
BAC.US,True,,138,34,124,1.0,1.0
WMT.US,True,,164,41,122,1.0,1.0
PFE.US,True,,164,41,125,1.0,1.0
KO.US,True,,164,41,125,1.0,1.0
ORCL.US,True,,165,41,132,1.0,1.0
CSCO.US,True,,156,39,129,1.0,1.0
CRM.US,True,,98,26,89,0.9826709631220908,1.0
ADBE.US,True,,163,40,121,1.0,1.0
MRK.US,True,,164,41,124,1.0,1.0
